ord	taccion	slug	feaccion	nivel_ejecucion	estado_alta	contraparte	description	Requirente	Monto	objetivo	planprod	lineaaccion	area
24	ballet	Ballet Folklórico Nacional	01/01/2015	enpreparacion	activo		Ballet Folklórico Nacional		4000000.0			1 Ballet Folklórico Nacional 	DNA
73	encuentrointl	Cooperación Cultural con Rusia – China – India	01/01/2015	enpreparacion	activo	Rusia – China – India	Actividades de intercambio, asistencias artísticas y acciones de cooperación cultural con Rusia – China – India		21000000.0			1 Desarrollo Internacional 	SGC
145	encuentrointl	Milán 2015	01/05/2015	enpreparacion	activo	Cancillería 	Participación en la Expo Universal Milano 2015		50000000.0			1 Desarrollo Internacional 	SGC
196	encuentrointl	Participación en Ferias y Mercados 	01/01/2015	enpreparacion	activo	Cancilleria	Apoyo a la participación en ferias y Mercados.		2500000.0			1 Desarrollo Internacional 	SGC
86	patrimoniohistorico	Ejecución de exhibiciones permanentes, elaboración de procedimientos, realización de  actividades  y muestras	01/01/2015	enpreparacion	activo		Ejecución de exhibiciones permanentes, elaboración de procedimientos y realización de  actividades  y muestras  (reacondicionamiento de salas, pasajes y viaticos,  gastos en materiales, honorarios profesionales, elementos de papel y carton,  insumos de iluminación equipamiento electrónico y multimedia)  		11000000.0			1 Modernización de la exhibición permanente de los Museos Nacionales  	DNIC
17	patrimoniohistorico	Asesoriamientos y diagnósticos 	01/01/2015	enpreparacion	activo		Asesoriamientos y diagnósticos  Traslado de personal técnico a los museos dependientes a fin de actualizar diagnósticos y  realizar seguimientos sobre acciones propuestas (traslado a los 8 museos sitos en el interior del país, viáticos, papel de computación, computadora portátil)  		57725.0			10 Comunicación e Interpretación del Patrimonio 	DNIC
27	patrimoniohistorico	Biblioteca especializada	01/01/2015	enpreparacion	activo		Biblioteca especializada Registro y difusión de publicaciones especializadas en museología y patrimonio cultural (software específico) 		1000.0			10 Comunicación e Interpretación del Patrimonio 	DNIC
41	patrimoniohistorico	Capacitaciones específicas para personal del Ministerio de Cultura 	01/01/2015	enpreparacion	activo		Capacitaciones específicas para personal del Ministerio de Cultura  Capacitaciones específicas sobre contenidos vinculados a la comunicación e interpretación del patrimonio (traslado para 8 representantes de los museos nacionales dependientes del interior,  viáticos, papel de computación)  		52625.0			10 Comunicación e Interpretación del Patrimonio 	DNIC
43	patrimoniohistorico	Capacitaciones para personal de museos del territorio nacional 	01/01/2015	enpreparacion	activo		Capacitaciones para personal de museos del territorio nacional  Capacitaciones en 6 sedes del interior del país sobre contenidos vinculados a la comunicación e interpretación del patrimonio (pasajes,  viáticos, imprenta, papel de computación) 		40485.0			10 Comunicación e Interpretación del Patrimonio 	DNIC
81	patrimoniohistorico	Difusión de los museos	01/01/2015	enpreparacion	activo		Difusión de los museos Elaboración de folletos institucionales de los museos nacionales dependientes, bilingües (impresión, servicio de traducción y envío postal) 		56700.0			10 Comunicación e Interpretación del Patrimonio 	DNIC
101	patrimoniohistorico	Estudios de público 	01/01/2015	enpreparacion	activo		Estudios de público  Evaluación de resultados del estudio de público realizado en museos nacionales dependientes y confección de nuevo instrumento a ser aplicado en 2016 (papel de computación, servicio de traducción y sellos postales).  		3200.0			10 Comunicación e Interpretación del Patrimonio 	DNIC
