Process INIT
Execution for processFile[PERSONS to go...] 
CB [Manuel B. Gonnet]:[Manuel B. Gonnet - La Plata - Buenos Aires] [, Manuel B. Gonnet, Buenos Aires]
CB [Carhué]:[Carhué - Adolfo Alsina - Buenos Aires] [Carhue, Carhué, Buenos Aires]
CB [La Pala]:[La Pala - Adolfo Alsina - Buenos Aires] [La Pala, La Pala, Buenos Aires]
CB [Yutuyaco]:[Yutuyaco - Adolfo Alsina - Buenos Aires] [Yutuyaco, Yutuyaco, Buenos Aires]
CB [Alberti]:[Alberti - Alberti - Buenos Aires] [Alberti, Alberti, Buenos Aires]
CB [Villa Maria]:[Villa Maria - Alberti - Buenos Aires] [Villa Maria, Villa Maria, Buenos Aires]
CB [La Constancia]:[La Constancia - Ayacucho - Buenos Aires] [La Constancia, La Constancia, Buenos Aires]
CB [Cachari]:[Cachari - Azul - Buenos Aires] [Cachari, Cachari, Buenos Aires]
CB [General Daniel Cerri]:[General Daniel Cerri - Bahía Blanca - Buenos Aires] [General Daniel Cerri, General Daniel Cerri, Buenos Aires]
CB [San Agustin]:[San Agustin - Balcarce - Buenos Aires] [San Agustin, San Agustin, Buenos Aires]
CB [Villa Alsina]:[Villa Alsina - Baradero - Buenos Aires] [Villa Alsina, Villa Alsina, Buenos Aires]
CB [Benito Juarez]:[Benito Juarez - Benito Juárez - Buenos Aires] [Benito Juarez, Benito Juarez, Buenos Aires]
CB [Berisso]:[Berisso - Berisso - Buenos Aires] [Gran La Plata, Berisso, Buenos Aires]
CB [Pirovano]:[Pirovano - Bolívar - Buenos Aires] [Pirovano, Pirovano, Buenos Aires]
CB [Comodoro Py]:[Comodoro Py - Bragado - Buenos Aires] [Comodoro Py, Comodoro Py, Buenos Aires]
CB [Mechita]:[Mechita - Bragado - Buenos Aires] [Mechita, Mechita, Buenos Aires]
CB [Barrio Los Bosquecitos]:[Barrio Los Bosquecitos - Brandsen - Buenos Aires] [Barrio Los Bosquecitos, Barrio Los Bosquecitos, Buenos Aires]
CB [Oliden]:[Oliden - Brandsen - Buenos Aires] [Oliden, Oliden, Buenos Aires]
CB [Lomas del Rio Lujan]:[Lomas del Rio Lujan - Campana - Buenos Aires] [Lomas del Rio Lujan, Lomas del Rio Lujan, Buenos Aires]
CB [Maximo Paz]:[Maximo Paz - Cañuelas - Buenos Aires] [Gran Buenos Aires, Maximo Paz, Buenos Aires]
CB [La Luisa]:[La Luisa - Capitán Sarmiento - Buenos Aires] [La Luisa, La Luisa, Buenos Aires]
CB [Hortensia]:[Hortensia - Carlos Casares - Buenos Aires] [Hortensia, Hortensia, Buenos Aires]
CB [Smith]:[Smith - Carlos Casares - Buenos Aires] [Smith, Smith, Buenos Aires]
CB [Tres Algarrobos]:[Tres Algarrobos - Carlos Tejedor - Buenos Aires] [Tres Algarrobos, Tres Algarrobos, Buenos Aires]
CB [Centro Guerrero]:[Centro Guerrero - Castelli - Buenos Aires] [Centro Guerrero, Centro Guerrero, Buenos Aires]
CB [Bajo Hondo]:[Bajo Hondo - Coronel de Marina L. Rosales - Buenos Aires] [Bajo Hondo, Bajo Hondo, Buenos Aires]
CB [Aparicio]:[Aparicio - Coronel Dorrego - Buenos Aires] [Aparicio, Aparicio, Buenos Aires]
CB [Irene]:[Irene - Coronel Dorrego - Buenos Aires] [Irene, Irene, Buenos Aires]
CB [El Pensamiento]:[El Pensamiento - Coronel Pringles - Buenos Aires] [El Pensamiento, El Pensamiento, Buenos Aires]
CB [Cura Malal]:[Cura Malal - Coronel Suárez - Buenos Aires] [Cura Malal, Cura Malal, Buenos Aires]
CB [Santa Maria]:[Santa Maria - Coronel Suárez - Buenos Aires] [Santa Maria, Santa Maria, Buenos Aires]
CB [Los Angeles]:[Los Angeles - Chacabuco - Buenos Aires] [Los Angeles, Los Angeles, Buenos Aires]
CB [Villa Parque Girado]:[Villa Parque Girado - Chascomús - Buenos Aires] [Villa Parque Girado, Villa Parque Girado, Buenos Aires]
